t_Ve,Ve,,t_Vc,Vc
0,0,,0,0
1.0000000000000001e-11,0.09999999969088239,,1.0000000000000001e-11,5.8823525663837505e-15
1.0840000034588302e-11,0.10840000000872423,,1.0840000034588302e-11,6.4214625797406876e-15
1.2520000103764904e-11,0.1252000006402573,,1.2520000103764904e-11,7.596640349903877e-15
1.5880000242118106e-11,0.15880000187841992,,1.5880000242118106e-11,1.0612418213018217e-14
2.2600000518824513e-11,0.22600000425513106,,2.2600000518824513e-11,2.014242183395419e-14
3.604000107223733e-11,0.3604000086100969,,3.604000107223733e-11,5.989028917052462e-14
6.292000217906296e-11,0.629200015726203,,6.292000217906296e-11,2.756900073482179e-13
1.1668000439271421e-10,1.166800023583114,,1.1668000439271421e-10,1.6809256427085434e-12
2.2420000882001673e-10,2.242000013795743,,2.2420000882001673e-10,1.1813302549026873e-11
4.392400176746217e-10,4.39239989221631,,4.392400176746217e-10,8.878454513541457e-11
8.693200353838318e-10,8.693199241039366,,8.693200353838318e-10,6.889035874831982e-10
1e-9,9.999998527766843,,1e-9,1.0263490683675465e-9
1.0860160035418421e-9,9.999998274779514,,1.0860160035418421e-9,1.3228841636757886e-9
1.2580480106255262e-9,9.999997768805125,,1.2580480106255262e-9,2.002998144136871e-9
1.6021120247928942e-9,9.99999675685796,,1.6021120247928942e-9,3.885488289151983e-9
2.29024005312763e-9,9.999994732970082,,2.29024005312763e-9,9.739511765637518e-9
3.666496109797102e-9,9.999990685220135,,3.666496109797102e-9,2.980368706203726e-8
6.419008223136046e-9,9.999982589823503,,6.419008223136046e-9,1.0335619576043924e-7
1.1924032449813933e-8,9.999966399443402,,1.1924032449813933e-8,3.841550026512395e-7
2.293408090316971e-8,9.99993402033687,,2.293408090316971e-8,0.0000014805050184461914
4.495417780988126e-8,9.999869268746584,,4.495417780988126e-8,0.000005812032409853279
8.899437162330437e-8,9.99973979212187,,8.899437162330437e-8,0.000023028935438445512
1.7707475925015058e-7,9.999480945613437,,1.7707475925015058e-7,0.00009166639364002632
2.7707475925015057e-7,9.9991872439155,,2.7707475925015057e-7,0.0002248471409497025
3.7707475925015057e-7,9.99889372834471,,3.7707475925015057e-7,0.0004167496152197638
4.770747592501505e-7,9.998600400512165,,4.770747592501505e-7,0.0006673364299098791
5.770747592501505e-7,9.99830726202687,,5.770747592501505e-7,0.0009765698764693197
6.770747592501505e-7,9.99801431449572,,6.770747592501505e-7,0.001344411924757532
7.770747592501505e-7,9.997721559523493,,7.770747592501505e-7,0.001770824223466343
8.770747592501505e-7,9.997428998712849,,8.770747592501505e-7,0.002255768100543792
