A1,A0,B1,B0,S1,S2,S3,Z,S1_exp,S2_exp,S3_exp,Z_exp
0,0,0,0,1,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,1,1,0,1
0,0,1,1,0,1,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,1,0,1,0,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,0,1,0,1
1,0,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,1,1
1,1,0,1,0,0,1,1,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,1,0,1
