"Step","efb0_16-06_5h20m30s - val_loss","efb0_16-06_5h20m30s - val_loss__MIN","efb0_16-06_5h20m30s - val_loss__MAX","efb0_16-06_5h27m35s - val_loss","efb0_16-06_5h27m35s - val_loss__MIN","efb0_16-06_5h27m35s - val_loss__MAX","efb0_16-06_5h13m15s - val_loss","efb0_16-06_5h13m15s - val_loss__MIN","efb0_16-06_5h13m15s - val_loss__MAX","dn201_15-06_17h24m23s - val_loss","dn201_15-06_17h24m23s - val_loss__MIN","dn201_15-06_17h24m23s - val_loss__MAX","inception_16-06_0h26m42s - val_loss","inception_16-06_0h26m42s - val_loss__MIN","inception_16-06_0h26m42s - val_loss__MAX","inception_16-06_0h21m47s - val_loss","inception_16-06_0h21m47s - val_loss__MIN","inception_16-06_0h21m47s - val_loss__MAX","dn201_15-06_17h24m48s - val_loss","dn201_15-06_17h24m48s - val_loss__MIN","dn201_15-06_17h24m48s - val_loss__MAX","dn121_15-06_21h42m52s - val_loss","dn121_15-06_21h42m52s - val_loss__MIN","dn121_15-06_21h42m52s - val_loss__MAX","dn121_15-06_21h36m21s - val_loss","dn121_15-06_21h36m21s - val_loss__MIN","dn121_15-06_21h36m21s - val_loss__MAX","inception_16-06_0h23m15s - val_loss","inception_16-06_0h23m15s - val_loss__MIN","inception_16-06_0h23m15s - val_loss__MAX","dn121_15-06_21h35m20s - val_loss","dn121_15-06_21h35m20s - val_loss__MIN","dn121_15-06_21h35m20s - val_loss__MAX","dn201_15-06_17h24m29s - val_loss","dn201_15-06_17h24m29s - val_loss__MIN","dn201_15-06_17h24m29s - val_loss__MAX","rn50_16-06_3h25m15s - val_loss","rn50_16-06_3h25m15s - val_loss__MIN","rn50_16-06_3h25m15s - val_loss__MAX","rn50_16-06_3h17m45s - val_loss","rn50_16-06_3h17m45s - val_loss__MIN","rn50_16-06_3h17m45s - val_loss__MAX","rn50_16-06_3h11m3s - val_loss","rn50_16-06_3h11m3s - val_loss__MIN","rn50_16-06_3h11m3s - val_loss__MAX"
"10","0.20017719268798828","0.20017719268798828","0.20017719268798828","0.281992644071579","0.281992644071579","0.281992644071579","0.1969623565673828","0.1969623565673828","0.1969623565673828","0.6649470925331116","0.6649470925331116","0.6649470925331116","0.3655255138874054","0.3655255138874054","0.3655255138874054","0.5400014519691467","0.5400014519691467","0.5400014519691467","0.6549632549285889","0.6549632549285889","0.6549632549285889","0.6427702307701111","0.6427702307701111","0.6427702307701111","0.5572901368141174","0.5572901368141174","0.5572901368141174","0.6166775822639465","0.6166775822639465","0.6166775822639465","0.658951461315155","0.658951461315155","0.658951461315155","0.6598686575889587","0.6598686575889587","0.6598686575889587","4.505202770233154","4.505202770233154","4.505202770233154","3.2231404781341553","3.2231404781341553","3.2231404781341553","5.181647300720215","5.181647300720215","5.181647300720215"
"11","0.2037617564201355","0.2037617564201355","0.2037617564201355","0.2148110270500183","0.2148110270500183","0.2148110270500183","0.1856144368648529","0.1856144368648529","0.1856144368648529","0.6710802316665649","0.6710802316665649","0.6710802316665649","0.34072887897491455","0.34072887897491455","0.34072887897491455","0.5523325204849243","0.5523325204849243","0.5523325204849243","0.6446982026100159","0.6446982026100159","0.6446982026100159","0.6376211047172546","0.6376211047172546","0.6376211047172546","0.5295318961143494","0.5295318961143494","0.5295318961143494","0.3942156732082367","0.3942156732082367","0.3942156732082367","0.6570688486099243","0.6570688486099243","0.6570688486099243","0.6545040607452393","0.6545040607452393","0.6545040607452393","2.601457118988037","2.601457118988037","2.601457118988037","5.161679744720459","5.161679744720459","5.161679744720459","11.100257873535156","11.100257873535156","11.100257873535156"
"12","0.23545774817466736","0.23545774817466736","0.23545774817466736","0.1770707666873932","0.1770707666873932","0.1770707666873932","0.18406204879283905","0.18406204879283905","0.18406204879283905","0.6767991185188293","0.6767991185188293","0.6767991185188293","0.3560418486595154","0.3560418486595154","0.3560418486595154","0.5939730405807495","0.5939730405807495","0.5939730405807495","0.6496008634567261","0.6496008634567261","0.6496008634567261","0.6331104040145874","0.6331104040145874","0.6331104040145874","0.5384137034416199","0.5384137034416199","0.5384137034416199","0.3346283733844757","0.3346283733844757","0.3346283733844757","0.6554027795791626","0.6554027795791626","0.6554027795791626","0.6487740874290466","0.6487740874290466","0.6487740874290466","3.327493667602539","3.327493667602539","3.327493667602539","1.5238609313964844","1.5238609313964844","1.5238609313964844","10.724482536315918","10.724482536315918","10.724482536315918"
"13","0.18026646971702576","0.18026646971702576","0.18026646971702576","0.1741432249546051","0.1741432249546051","0.1741432249546051","0.1804339587688446","0.1804339587688446","0.1804339587688446","0.6845429539680481","0.6845429539680481","0.6845429539680481","0.4062309265136719","0.4062309265136719","0.4062309265136719","0.4321032166481018","0.4321032166481018","0.4321032166481018","0.6630794405937195","0.6630794405937195","0.6630794405937195","0.640201210975647","0.640201210975647","0.640201210975647","0.5207863450050354","0.5207863450050354","0.5207863450050354","0.8264142870903015","0.8264142870903015","0.8264142870903015","0.6544823050498962","0.6544823050498962","0.6544823050498962","0.6478075981140137","0.6478075981140137","0.6478075981140137","7.4252519607543945","7.4252519607543945","7.4252519607543945","3.8873770236968994","3.8873770236968994","3.8873770236968994","3.38409686088562","3.38409686088562","3.38409686088562"
"14","0.2022622674703598","0.2022622674703598","0.2022622674703598","0.19945016503334045","0.19945016503334045","0.19945016503334045","0.21474556624889374","0.21474556624889374","0.21474556624889374","0.6921966671943665","0.6921966671943665","0.6921966671943665","0.41992810368537903","0.41992810368537903","0.41992810368537903","0.3888097405433655","0.3888097405433655","0.3888097405433655","0.6941837668418884","0.6941837668418884","0.6941837668418884","0.6373001337051392","0.6373001337051392","0.6373001337051392","0.4578450620174408","0.4578450620174408","0.4578450620174408","0.31731900572776794","0.31731900572776794","0.31731900572776794","0.6596587896347046","0.6596587896347046","0.6596587896347046","0.6511675119400024","0.6511675119400024","0.6511675119400024","6.277190685272217","6.277190685272217","6.277190685272217","4.421342372894287","4.421342372894287","4.421342372894287","4.352527141571045","4.352527141571045","4.352527141571045"
"15","0.19948844611644745","0.19948844611644745","0.19948844611644745","0.16152147948741913","0.16152147948741913","0.16152147948741913","0.1690146028995514","0.1690146028995514","0.1690146028995514","0.8970905542373657","0.8970905542373657","0.8970905542373657","0.3479059934616089","0.3479059934616089","0.3479059934616089","0.9756584167480469","0.9756584167480469","0.9756584167480469","0.6534761786460876","0.6534761786460876","0.6534761786460876","0.6395925283432007","0.6395925283432007","0.6395925283432007","0.4851491451263428","0.4851491451263428","0.4851491451263428","0.3578726351261139","0.3578726351261139","0.3578726351261139","0.6493909358978271","0.6493909358978271","0.6493909358978271","0.6462960839271545","0.6462960839271545","0.6462960839271545","4.4475908279418945","4.4475908279418945","4.4475908279418945","5.633610725402832","5.633610725402832","5.633610725402832","4.20161771774292","4.20161771774292","4.20161771774292"
"16","0.1587686836719513","0.1587686836719513","0.1587686836719513","0.15081335604190826","0.15081335604190826","0.15081335604190826","0.2060108184814453","0.2060108184814453","0.2060108184814453","0.742217481136322","0.742217481136322","0.742217481136322","0.5092126727104187","0.5092126727104187","0.5092126727104187","0.44528698921203613","0.44528698921203613","0.44528698921203613","0.6109145283699036","0.6109145283699036","0.6109145283699036","0.6376259326934814","0.6376259326934814","0.6376259326934814","0.4513029456138611","0.4513029456138611","0.4513029456138611","0.328285813331604","0.328285813331604","0.328285813331604","0.6256706714630127","0.6256706714630127","0.6256706714630127","0.6389414072036743","0.6389414072036743","0.6389414072036743","3.841235399246216","3.841235399246216","3.841235399246216","3.283355236053467","3.283355236053467","3.283355236053467","5.550281047821045","5.550281047821045","5.550281047821045"
"17","0.19294652342796326","0.19294652342796326","0.19294652342796326","0.1675788164138794","0.1675788164138794","0.1675788164138794","0.16709959506988525","0.16709959506988525","0.16709959506988525","0.7229422330856323","0.7229422330856323","0.7229422330856323","0.4053937792778015","0.4053937792778015","0.4053937792778015","0.3678790330886841","0.3678790330886841","0.3678790330886841","0.5432336926460266","0.5432336926460266","0.5432336926460266","0.657752275466919","0.657752275466919","0.657752275466919","0.5331569910049438","0.5331569910049438","0.5331569910049438","0.48229485750198364","0.48229485750198364","0.48229485750198364","0.6574000120162964","0.6574000120162964","0.6574000120162964","0.6436338424682617","0.6436338424682617","0.6436338424682617","5.476603031158447","5.476603031158447","5.476603031158447","3.135535478591919","3.135535478591919","3.135535478591919","7.986149787902832","7.986149787902832","7.986149787902832"
"18","0.17692911624908447","0.17692911624908447","0.17692911624908447","0.15075437724590302","0.15075437724590302","0.15075437724590302","0.16843339800834656","0.16843339800834656","0.16843339800834656","0.5559594631195068","0.5559594631195068","0.5559594631195068","0.42908307909965515","0.42908307909965515","0.42908307909965515","0.3447120189666748","0.3447120189666748","0.3447120189666748","0.5189921259880066","0.5189921259880066","0.5189921259880066","0.6367722153663635","0.6367722153663635","0.6367722153663635","0.4002017080783844","0.4002017080783844","0.4002017080783844","0.49582982063293457","0.49582982063293457","0.49582982063293457","0.6590543389320374","0.6590543389320374","0.6590543389320374","0.6457215547561646","0.6457215547561646","0.6457215547561646","4.232058525085449","4.232058525085449","4.232058525085449","5.502193450927734","5.502193450927734","5.502193450927734","4.675965785980225","4.675965785980225","4.675965785980225"
"19","0.16572365164756775","0.16572365164756775","0.16572365164756775","0.14125874638557434","0.14125874638557434","0.14125874638557434","0.2006823569536209","0.2006823569536209","0.2006823569536209","0.5200853943824768","0.5200853943824768","0.5200853943824768","0.49322310090065","0.49322310090065","0.49322310090065","0.3519769608974457","0.3519769608974457","0.3519769608974457","0.6100465059280396","0.6100465059280396","0.6100465059280396","0.7238919138908386","0.7238919138908386","0.7238919138908386","0.4238351583480835","0.4238351583480835","0.4238351583480835","0.3085552453994751","0.3085552453994751","0.3085552453994751","0.6548576951026917","0.6548576951026917","0.6548576951026917","0.6503071188926697","0.6503071188926697","0.6503071188926697","2.9727869033813477","2.9727869033813477","2.9727869033813477","8.784220695495605","8.784220695495605","8.784220695495605","3.5268263816833496","3.5268263816833496","3.5268263816833496"
