ACC,F1,PRAUC,ROCAUC,loss,val_ACC,val_F1,val_PRAUC,val_ROCAUC,val_loss
0.882753849029541,0.8821156024932861,0.9531962871551514,0.9518253207206726,0.28380173444747925,0.9606793522834778,0.9607465267181396,0.9927382469177246,0.9925553202629089,0.12096996605396271
0.9562514424324036,0.9561985731124878,0.9914178252220154,0.9914504289627075,0.11614903062582016,0.9715709686279297,0.9716438055038452,0.99577397108078,0.9956973195075989,0.08417574316263199
0.9685471057891846,0.9685446619987488,0.9955741167068481,0.9955519437789917,0.08259402215480804,0.9795089364051819,0.9794193506240845,0.9972925186157227,0.9972661733627319,0.06235643848776817
0.9764218330383301,0.9764273166656494,0.9972983598709106,0.9972376823425293,0.06505865603685379,0.9850471019744873,0.9850515127182007,0.9987061023712158,0.9986936450004578,0.04439407214522362
0.9808887839317322,0.9808810353279114,0.9983486533164978,0.9983413219451904,0.050662171095609665,0.9868931174278259,0.9868762493133545,0.9989613890647888,0.9989476203918457,0.03876154124736786
0.9830071330070496,0.983012855052948,0.9986567497253418,0.9986357092857361,0.045538511127233505,0.9835702180862427,0.9835711717605591,0.9989016056060791,0.9988844990730286,0.04116318002343178
0.9853557348251343,0.9853617548942566,0.9989557266235352,0.9989466071128845,0.0395498163998127,0.9839394688606262,0.9839364886283875,0.9987925887107849,0.9987708926200867,0.043112702667713165
0.9879345893859863,0.9879335165023804,0.9992897510528564,0.9992799162864685,0.03322397172451019,0.9868931174278259,0.9868647456169128,0.9990689754486084,0.9990508556365967,0.037937335669994354
0.9879345893859863,0.9879381656646729,0.9992822408676147,0.999273419380188,0.032454997301101685,0.9835702180862427,0.9835346341133118,0.9989125728607178,0.998895525932312,0.042006589472293854
0.9904213547706604,0.9904230833053589,0.9995484352111816,0.9995418787002563,0.026368066668510437,0.9861546754837036,0.9861193895339966,0.9988358020782471,0.9988146424293518,0.04157568886876106
0.9894082546234131,0.9894095063209534,0.9995449781417847,0.9995409250259399,0.026713740080595016,0.9865239262580872,0.9864964485168457,0.9991026520729065,0.9990861415863037,0.03832799568772316
0.9919871091842651,0.991987943649292,0.9996927380561829,0.9996895790100098,0.022159980610013008,0.9894775748252869,0.989475667476654,0.9994507431983948,0.9994439482688904,0.029754824936389923
0.9919871091842651,0.991989016532898,0.9996881484985352,0.9996846914291382,0.02161606028676033,0.991692841053009,0.9916831851005554,0.9996010661125183,0.9995976090431213,0.02362961135804653
0.9939212799072266,0.9939213991165161,0.9998058676719666,0.9998040795326233,0.017524803057312965,0.9907698035240173,0.9907652735710144,0.9995884895324707,0.9995827078819275,0.0249651949852705
0.9953027963638306,0.9953031539916992,0.9998162984848022,0.9998144507408142,0.01530477125197649,0.9902159571647644,0.9902057647705078,0.9995123744010925,0.9995113611221313,0.02723562903702259
0.9944278001785278,0.9944276809692383,0.9998594522476196,0.999857485294342,0.014643597416579723,0.9865239262580872,0.9864861369132996,0.9992326498031616,0.9992232322692871,0.037067729979753494
0.9943357110023499,0.9943357706069946,0.9998257756233215,0.9998247027397156,0.01548376027494669,0.992615818977356,0.9926193952560425,0.9997624754905701,0.9997601509094238,0.019360465928912163
0.9947962164878845,0.9947965145111084,0.9998393654823303,0.9998377561569214,0.014868536032736301,0.9929850697517395,0.992989182472229,0.9996709823608398,0.9996678829193115,0.020327528938651085
0.9959474802017212,0.9959477186203003,0.9999161958694458,0.9999159574508667,0.011648903600871563,0.993723452091217,0.9937203526496887,0.999567449092865,0.9995615482330322,0.023830752819776535
0.9956251382827759,0.9956254959106445,0.9998932480812073,0.9998924732208252,0.012402934953570366,0.9931696653366089,0.9931692481040955,0.99969881772995,0.9996948838233948,0.020982250571250916
0.9959474802017212,0.9959473609924316,0.9999165534973145,0.9999164342880249,0.011087307706475258,0.9907698035240173,0.9907561540603638,0.9993120431900024,0.9993873834609985,0.029414871707558632
0.9960856437683105,0.9960857629776001,0.9999158382415771,0.9999150037765503,0.01079550851136446,0.9933542609214783,0.9933518171310425,0.9994333982467651,0.9995105266571045,0.022894587367773056
0.9971448183059692,0.9971450567245483,0.999952495098114,0.9999522566795349,0.008700206875801086,0.9920620322227478,0.992059588432312,0.999614953994751,0.9996088743209839,0.025264693424105644
0.9972829818725586,0.9972829818725586,0.9999387860298157,0.9999384880065918,0.00889262929558754,0.9924312233924866,0.9924252033233643,0.9997082948684692,0.9997049570083618,0.02313147857785225
0.9972369074821472,0.9972370862960815,0.9999445080757141,0.9999439120292664,0.008627848699688911,0.9935388565063477,0.993532121181488,0.9996942281723022,0.9996912479400635,0.022765135392546654
0.996730387210846,0.9967304468154907,0.9999362230300903,0.9999358654022217,0.00942153949290514,0.992615818977356,0.9926095008850098,0.9997630715370178,0.9997607469558716,0.01972797140479088
0.9971448183059692,0.9971447587013245,0.9999547004699707,0.999954342842102,0.007996153086423874,0.9944618940353394,0.9944591522216797,0.9998223781585693,0.9998205304145813,0.01709834113717079
0.9978816509246826,0.9978820085525513,0.9999668598175049,0.9999667406082153,0.007170515600591898,0.9924312233924866,0.9924233555793762,0.9996562004089355,0.9996516108512878,0.023294473066926003
0.99732905626297,0.9973289966583252,0.9999505877494812,0.9999499917030334,0.007897596806287766,0.9907698035240173,0.9907516241073608,0.9994934797286987,0.9994829297065735,0.03201528266072273
0.99732905626297,0.9973289966583252,0.9999524354934692,0.9999521970748901,0.007833020761609077,0.9924312233924866,0.9924195408821106,0.9995936155319214,0.9995485544204712,0.024525705724954605
