"Step","efb0_15-06_8h24m46s - val_loss","efb0_15-06_8h24m46s - val_loss__MIN","efb0_15-06_8h24m46s - val_loss__MAX","efb0_14-06_22h24m5s - val_loss","efb0_14-06_22h24m5s - val_loss__MIN","efb0_14-06_22h24m5s - val_loss__MAX","efb0_14-06_22h21m14s - val_loss","efb0_14-06_22h21m14s - val_loss__MIN","efb0_14-06_22h21m14s - val_loss__MAX","efb0_14-06_22h33m3s - val_loss","efb0_14-06_22h33m3s - val_loss__MIN","efb0_14-06_22h33m3s - val_loss__MAX","efb0_15-06_8h29m23s - val_loss","efb0_15-06_8h29m23s - val_loss__MIN","efb0_15-06_8h29m23s - val_loss__MAX","efb0_14-06_22h35m15s - val_loss","efb0_14-06_22h35m15s - val_loss__MIN","efb0_14-06_22h35m15s - val_loss__MAX","efb0_14-06_22h40m50s - val_loss","efb0_14-06_22h40m50s - val_loss__MIN","efb0_14-06_22h40m50s - val_loss__MAX","dn201_14-06_13h14m46s - val_loss","dn201_14-06_13h14m46s - val_loss__MIN","dn201_14-06_13h14m46s - val_loss__MAX","dn201_14-06_13h18m7s - val_loss","dn201_14-06_13h18m7s - val_loss__MIN","dn201_14-06_13h18m7s - val_loss__MAX","dn201_14-06_13h19m58s - val_loss","dn201_14-06_13h19m58s - val_loss__MIN","dn201_14-06_13h19m58s - val_loss__MAX","dn201_14-06_13h11m36s - val_loss","dn201_14-06_13h11m36s - val_loss__MIN","dn201_14-06_13h11m36s - val_loss__MAX","dn201_14-06_13h17m53s - val_loss","dn201_14-06_13h17m53s - val_loss__MIN","dn201_14-06_13h17m53s - val_loss__MAX","inception_14-06_19h1m2s - val_loss","inception_14-06_19h1m2s - val_loss__MIN","inception_14-06_19h1m2s - val_loss__MAX","inception_14-06_18h53m23s - val_loss","inception_14-06_18h53m23s - val_loss__MIN","inception_14-06_18h53m23s - val_loss__MAX","inception_14-06_18h48m47s - val_loss","inception_14-06_18h48m47s - val_loss__MIN","inception_14-06_18h48m47s - val_loss__MAX","model_14-06_13h18m58s - val_loss","model_14-06_13h18m58s - val_loss__MIN","model_14-06_13h18m58s - val_loss__MAX","inception_14-06_18h47m47s - val_loss","inception_14-06_18h47m47s - val_loss__MIN","inception_14-06_18h47m47s - val_loss__MAX","inception_14-06_18h47m32s - val_loss","inception_14-06_18h47m32s - val_loss__MIN","inception_14-06_18h47m32s - val_loss__MAX","model_14-06_13h19m30s - val_loss","model_14-06_13h19m30s - val_loss__MIN","model_14-06_13h19m30s - val_loss__MAX","inception_14-06_18h49m41s - val_loss","inception_14-06_18h49m41s - val_loss__MIN","inception_14-06_18h49m41s - val_loss__MAX","inception_14-06_18h50m49s - val_loss","inception_14-06_18h50m49s - val_loss__MIN","inception_14-06_18h50m49s - val_loss__MAX","dn121_14-06_18h56m40s - val_loss","dn121_14-06_18h56m40s - val_loss__MIN","dn121_14-06_18h56m40s - val_loss__MAX","rn50_14-06_20h40m57s - val_loss","rn50_14-06_20h40m57s - val_loss__MIN","rn50_14-06_20h40m57s - val_loss__MAX","rn50_14-06_20h42m45s - val_loss","rn50_14-06_20h42m45s - val_loss__MIN","rn50_14-06_20h42m45s - val_loss__MAX","rn50_14-06_20h41m37s - val_loss","rn50_14-06_20h41m37s - val_loss__MIN","rn50_14-06_20h41m37s - val_loss__MAX","rn50_14-06_20h46m45s - val_loss","rn50_14-06_20h46m45s - val_loss__MIN","rn50_14-06_20h46m45s - val_loss__MAX","rn50_14-06_20h57m33s - val_loss","rn50_14-06_20h57m33s - val_loss__MIN","rn50_14-06_20h57m33s - val_loss__MAX","rn50_14-06_20h46m36s - val_loss","rn50_14-06_20h46m36s - val_loss__MIN","rn50_14-06_20h46m36s - val_loss__MAX"
"0","0.12096996605396271","0.12096996605396271","0.12096996605396271","0.12090767920017242","0.12090767920017242","0.12090767920017242","0.12691892683506012","0.12691892683506012","0.12691892683506012","0.171274796128273","0.171274796128273","0.171274796128273","0.14103995263576508","0.14103995263576508","0.14103995263576508","0.17449064552783966","0.17449064552783966","0.17449064552783966","0.1520160287618637","0.1520160287618637","0.1520160287618637","0.35915249586105347","0.35915249586105347","0.35915249586105347","0.35863956809043884","0.35863956809043884","0.35863956809043884","0.6252777576446533","0.6252777576446533","0.6252777576446533","0.733893632888794","0.733893632888794","0.733893632888794","0.6509287357330322","0.6509287357330322","0.6509287357330322","0.345836877822876","0.345836877822876","0.345836877822876","0.5559879541397095","0.5559879541397095","0.5559879541397095","0.3833930492401123","0.3833930492401123","0.3833930492401123","0.3806022107601166","0.3806022107601166","0.3806022107601166","0.3885018825531006","0.3885018825531006","0.3885018825531006","0.3468589782714844","0.3468589782714844","0.3468589782714844","0.4822486340999603","0.4822486340999603","0.4822486340999603","0.4332248568534851","0.4332248568534851","0.4332248568534851","0.47115883231163025","0.47115883231163025","0.47115883231163025","0.3938765823841095","0.3938765823841095","0.3938765823841095","0.2317158579826355","0.2317158579826355","0.2317158579826355","0.3861946761608124","0.3861946761608124","0.3861946761608124","0.2776406407356262","0.2776406407356262","0.2776406407356262","0.30037200450897217","0.30037200450897217","0.30037200450897217","0.36200737953186035","0.36200737953186035","0.36200737953186035","0.6585060358047485","0.6585060358047485","0.6585060358047485"
"1","0.08417574316263199","0.08417574316263199","0.08417574316263199","0.07477476447820663","0.07477476447820663","0.07477476447820663","0.07771492749452591","0.07771492749452591","0.07771492749452591","0.08459073305130005","0.08459073305130005","0.08459073305130005","0.07345732301473618","0.07345732301473618","0.07345732301473618","0.08425714820623398","0.08425714820623398","0.08425714820623398","0.08281203359365463","0.08281203359365463","0.08281203359365463","0.20287783443927765","0.20287783443927765","0.20287783443927765","0.25157710909843445","0.25157710909843445","0.25157710909843445","0.508336067199707","0.508336067199707","0.508336067199707","0.21613363921642303","0.21613363921642303","0.21613363921642303","0.30896422266960144","0.30896422266960144","0.30896422266960144","0.3949972689151764","0.3949972689151764","0.3949972689151764","0.3936344087123871","0.3936344087123871","0.3936344087123871","0.2712808847427368","0.2712808847427368","0.2712808847427368","1.0103319883346558","1.0103319883346558","1.0103319883346558","0.866466224193573","0.866466224193573","0.866466224193573","0.577698290348053","0.577698290348053","0.577698290348053","0.2864949405193329","0.2864949405193329","0.2864949405193329","0.4948355555534363","0.4948355555534363","0.4948355555534363","0.843669056892395","0.843669056892395","0.843669056892395","0.2581900358200073","0.2581900358200073","0.2581900358200073","1.8160220384597778","1.8160220384597778","1.8160220384597778","0.45025116205215454","0.45025116205215454","0.45025116205215454","0.32185614109039307","0.32185614109039307","0.32185614109039307","0.3565419912338257","0.3565419912338257","0.3565419912338257","1.8391568660736084","1.8391568660736084","1.8391568660736084","1.4837372303009033","1.4837372303009033","1.4837372303009033"
"2","0.06235643848776817","0.06235643848776817","0.06235643848776817","0.0597037635743618","0.0597037635743618","0.0597037635743618","0.06096431985497475","0.06096431985497475","0.06096431985497475","0.057131413370370865","0.057131413370370865","0.057131413370370865","0.0562775693833828","0.0562775693833828","0.0562775693833828","0.07173773646354675","0.07173773646354675","0.07173773646354675","0.06865699589252472","0.06865699589252472","0.06865699589252472","0.1883993297815323","0.1883993297815323","0.1883993297815323","0.2323516607284546","0.2323516607284546","0.2323516607284546","0.3702447712421417","0.3702447712421417","0.3702447712421417","0.25776857137680054","0.25776857137680054","0.25776857137680054","0.2594805359840393","0.2594805359840393","0.2594805359840393","0.6459034085273743","0.6459034085273743","0.6459034085273743","0.22370918095111847","0.22370918095111847","0.22370918095111847","0.4423190951347351","0.4423190951347351","0.4423190951347351","0.32951730489730835","0.32951730489730835","0.32951730489730835","0.24226310849189758","0.24226310849189758","0.24226310849189758","0.3671368360519409","0.3671368360519409","0.3671368360519409","0.5299223065376282","0.5299223065376282","0.5299223065376282","0.3421652317047119","0.3421652317047119","0.3421652317047119","0.7309000492095947","0.7309000492095947","0.7309000492095947","0.3520255386829376","0.3520255386829376","0.3520255386829376","0.6347687840461731","0.6347687840461731","0.6347687840461731","0.4443703293800354","0.4443703293800354","0.4443703293800354","0.9618918895721436","0.9618918895721436","0.9618918895721436","1.834545373916626","1.834545373916626","1.834545373916626","1.4784306287765503","1.4784306287765503","1.4784306287765503","0.9271396398544312","0.9271396398544312","0.9271396398544312"
"3","0.04439407214522362","0.04439407214522362","0.04439407214522362","0.04669348523020744","0.04669348523020744","0.04669348523020744","0.05001434311270714","0.05001434311270714","0.05001434311270714","0.05063869431614876","0.05063869431614876","0.05063869431614876","0.04754463955760002","0.04754463955760002","0.04754463955760002","0.05018417537212372","0.05018417537212372","0.05018417537212372","0.04839305952191353","0.04839305952191353","0.04839305952191353","0.31422367691993713","0.31422367691993713","0.31422367691993713","0.19800640642642975","0.19800640642642975","0.19800640642642975","0.19836358726024628","0.19836358726024628","0.19836358726024628","0.23770512640476227","0.23770512640476227","0.23770512640476227","0.16465288400650024","0.16465288400650024","0.16465288400650024","0.44072073698043823","0.44072073698043823","0.44072073698043823","0.2302776724100113","0.2302776724100113","0.2302776724100113","0.25411882996559143","0.25411882996559143","0.25411882996559143","0.3340515196323395","0.3340515196323395","0.3340515196323395","0.30140799283981323","0.30140799283981323","0.30140799283981323","0.41453346610069275","0.41453346610069275","0.41453346610069275","0.19526071846485138","0.19526071846485138","0.19526071846485138","0.32516297698020935","0.32516297698020935","0.32516297698020935","0.41447019577026367","0.41447019577026367","0.41447019577026367","0.2087743580341339","0.2087743580341339","0.2087743580341339","2.057624101638794","2.057624101638794","2.057624101638794","0.8356718420982361","0.8356718420982361","0.8356718420982361","0.48909980058670044","0.48909980058670044","0.48909980058670044","1.0932977199554443","1.0932977199554443","1.0932977199554443","2.901078939437866","2.901078939437866","2.901078939437866","3.4968836307525635","3.4968836307525635","3.4968836307525635"
"4","0.03876154124736786","0.03876154124736786","0.03876154124736786","0.03941285237669945","0.03941285237669945","0.03941285237669945","0.04671753570437431","0.04671753570437431","0.04671753570437431","0.04464646056294441","0.04464646056294441","0.04464646056294441","0.04066672548651695","0.04066672548651695","0.04066672548651695","0.044065989553928375","0.044065989553928375","0.044065989553928375","0.04701276496052742","0.04701276496052742","0.04701276496052742","0.21986529231071472","0.21986529231071472","0.21986529231071472","0.13914862275123596","0.13914862275123596","0.13914862275123596","0.19006985425949097","0.19006985425949097","0.19006985425949097","0.6353920102119446","0.6353920102119446","0.6353920102119446","0.14411936700344086","0.14411936700344086","0.14411936700344086","0.18955978751182556","0.18955978751182556","0.18955978751182556","0.20297768712043762","0.20297768712043762","0.20297768712043762","0.22764313220977783","0.22764313220977783","0.22764313220977783","0.20603470504283905","0.20603470504283905","0.20603470504283905","0.2681374251842499","0.2681374251842499","0.2681374251842499","0.3394850492477417","0.3394850492477417","0.3394850492477417","0.8045416474342346","0.8045416474342346","0.8045416474342346","0.32201245427131653","0.32201245427131653","0.32201245427131653","0.5532042384147644","0.5532042384147644","0.5532042384147644","0.2438982129096985","0.2438982129096985","0.2438982129096985","2.01774001121521","2.01774001121521","2.01774001121521","0.4538761377334595","0.4538761377334595","0.4538761377334595","3.040590286254883","3.040590286254883","3.040590286254883","1.6985584497451782","1.6985584497451782","1.6985584497451782","2.580807685852051","2.580807685852051","2.580807685852051","4.630499362945557","4.630499362945557","4.630499362945557"
"5","0.04116318002343178","0.04116318002343178","0.04116318002343178","0.038199570029973984","0.038199570029973984","0.038199570029973984","0.045686591416597366","0.045686591416597366","0.045686591416597366","0.045186396688222885","0.045186396688222885","0.045186396688222885","0.043442949652671814","0.043442949652671814","0.043442949652671814","0.03972974419593811","0.03972974419593811","0.03972974419593811","0.04294627532362938","0.04294627532362938","0.04294627532362938","0.34832528233528137","0.34832528233528137","0.34832528233528137","0.16013416647911072","0.16013416647911072","0.16013416647911072","0.16255207359790802","0.16255207359790802","0.16255207359790802","0.4814479351043701","0.4814479351043701","0.4814479351043701","0.16567960381507874","0.16567960381507874","0.16567960381507874","0.23230552673339844","0.23230552673339844","0.23230552673339844","0.16506440937519073","0.16506440937519073","0.16506440937519073","0.18053488433361053","0.18053488433361053","0.18053488433361053","0.19931276142597198","0.19931276142597198","0.19931276142597198","0.4597416818141937","0.4597416818141937","0.4597416818141937","0.30379554629325867","0.30379554629325867","0.30379554629325867","0.13621680438518524","0.13621680438518524","0.13621680438518524","0.567510187625885","0.567510187625885","0.567510187625885","0.35771313309669495","0.35771313309669495","0.35771313309669495","0.23707260191440582","0.23707260191440582","0.23707260191440582","6.783133506774902","6.783133506774902","6.783133506774902","1.3817532062530518","1.3817532062530518","1.3817532062530518","0.9843217134475708","0.9843217134475708","0.9843217134475708","2.7223105430603027","2.7223105430603027","2.7223105430603027","4.60663366317749","4.60663366317749","4.60663366317749","2.9825143814086914","2.9825143814086914","2.9825143814086914"
"6","0.043112702667713165","0.043112702667713165","0.043112702667713165","0.03338370472192764","0.03338370472192764","0.03338370472192764","0.048074085265398026","0.048074085265398026","0.048074085265398026","0.043544720858335495","0.043544720858335495","0.043544720858335495","0.037082523107528687","0.037082523107528687","0.037082523107528687","0.03786681964993477","0.03786681964993477","0.03786681964993477","0.040721822530031204","0.040721822530031204","0.040721822530031204","0.19706779718399048","0.19706779718399048","0.19706779718399048","0.17362529039382935","0.17362529039382935","0.17362529039382935","0.23950456082820892","0.23950456082820892","0.23950456082820892","0.2616032660007477","0.2616032660007477","0.2616032660007477","0.49395501613616943","0.49395501613616943","0.49395501613616943","0.16299045085906982","0.16299045085906982","0.16299045085906982","0.19366946816444397","0.19366946816444397","0.19366946816444397","0.5214698314666748","0.5214698314666748","0.5214698314666748","0.18495872616767883","0.18495872616767883","0.18495872616767883","0.19704008102416992","0.19704008102416992","0.19704008102416992","0.20574231445789337","0.20574231445789337","0.20574231445789337","0.16606508195400238","0.16606508195400238","0.16606508195400238","0.23112690448760986","0.23112690448760986","0.23112690448760986","0.49048203229904175","0.49048203229904175","0.49048203229904175","0.2762901782989502","0.2762901782989502","0.2762901782989502","5.258109092712402","5.258109092712402","5.258109092712402","1.7738206386566162","1.7738206386566162","1.7738206386566162","0.4668651223182678","0.4668651223182678","0.4668651223182678","0.4840753674507141","0.4840753674507141","0.4840753674507141","3.560575246810913","3.560575246810913","3.560575246810913","2.283752679824829","2.283752679824829","2.283752679824829"
"7","0.037937335669994354","0.037937335669994354","0.037937335669994354","0.03203461691737175","0.03203461691737175","0.03203461691737175","0.043782562017440796","0.043782562017440796","0.043782562017440796","0.0362548828125","0.0362548828125","0.0362548828125","0.03220650926232338","0.03220650926232338","0.03220650926232338","0.033962052315473557","0.033962052315473557","0.033962052315473557","0.03992055356502533","0.03992055356502533","0.03992055356502533","0.35715752840042114","0.35715752840042114","0.35715752840042114","0.2612716257572174","0.2612716257572174","0.2612716257572174","0.18368899822235107","0.18368899822235107","0.18368899822235107","0.2602384388446808","0.2602384388446808","0.2602384388446808","0.4922262132167816","0.4922262132167816","0.4922262132167816","0.18632090091705322","0.18632090091705322","0.18632090091705322","0.28786641359329224","0.28786641359329224","0.28786641359329224","0.2547566890716553","0.2547566890716553","0.2547566890716553","0.2661167085170746","0.2661167085170746","0.2661167085170746","0.16435514390468597","0.16435514390468597","0.16435514390468597","0.33893728256225586","0.33893728256225586","0.33893728256225586","0.2725176215171814","0.2725176215171814","0.2725176215171814","0.1845121681690216","0.1845121681690216","0.1845121681690216","0.37372079491615295","0.37372079491615295","0.37372079491615295","0.2964725196361542","0.2964725196361542","0.2964725196361542","4.454765319824219","4.454765319824219","4.454765319824219","2.665940999984741","2.665940999984741","2.665940999984741","0.6184385418891907","0.6184385418891907","0.6184385418891907","0.8747231960296631","0.8747231960296631","0.8747231960296631","2.6567554473876953","2.6567554473876953","2.6567554473876953","0.703672468662262","0.703672468662262","0.703672468662262"
"8","0.042006589472293854","0.042006589472293854","0.042006589472293854","0.02546066790819168","0.02546066790819168","0.02546066790819168","0.03915143758058548","0.03915143758058548","0.03915143758058548","0.05815085396170616","0.05815085396170616","0.05815085396170616","0.030124060809612274","0.030124060809612274","0.030124060809612274","0.03386351466178894","0.03386351466178894","0.03386351466178894","0.0352756641805172","0.0352756641805172","0.0352756641805172","0.1477791965007782","0.1477791965007782","0.1477791965007782","0.16092583537101746","0.16092583537101746","0.16092583537101746","0.32156047224998474","0.32156047224998474","0.32156047224998474","0.29913339018821716","0.29913339018821716","0.29913339018821716","0.17984738945960999","0.17984738945960999","0.17984738945960999","0.16348637640476227","0.16348637640476227","0.16348637640476227","0.2213323414325714","0.2213323414325714","0.2213323414325714","0.37523725628852844","0.37523725628852844","0.37523725628852844","0.1708943098783493","0.1708943098783493","0.1708943098783493","0.17273715138435364","0.17273715138435364","0.17273715138435364","0.30318620800971985","0.30318620800971985","0.30318620800971985","0.24207690358161926","0.24207690358161926","0.24207690358161926","0.17149774730205536","0.17149774730205536","0.17149774730205536","0.4719471335411072","0.4719471335411072","0.4719471335411072","0.21055641770362854","0.21055641770362854","0.21055641770362854","1.8997431993484497","1.8997431993484497","1.8997431993484497","0.6537118554115295","0.6537118554115295","0.6537118554115295","0.5433081388473511","0.5433081388473511","0.5433081388473511","7.00409460067749","7.00409460067749","7.00409460067749","4.105376720428467","4.105376720428467","4.105376720428467","7.210879802703857","7.210879802703857","7.210879802703857"
"9","0.04157568886876106","0.04157568886876106","0.04157568886876106","0.03090655244886875","0.03090655244886875","0.03090655244886875","0.036514632403850555","0.036514632403850555","0.036514632403850555","0.028273897245526314","0.028273897245526314","0.028273897245526314","0.03351288661360741","0.03351288661360741","0.03351288661360741","0.026958759874105453","0.026958759874105453","0.026958759874105453","0.03155646473169327","0.03155646473169327","0.03155646473169327","0.7062605619430542","0.7062605619430542","0.7062605619430542","0.31196802854537964","0.31196802854537964","0.31196802854537964","0.1795581728219986","0.1795581728219986","0.1795581728219986","0.19630616903305054","0.19630616903305054","0.19630616903305054","0.30621474981307983","0.30621474981307983","0.30621474981307983","0.3319251835346222","0.3319251835346222","0.3319251835346222","0.15465816855430603","0.15465816855430603","0.15465816855430603","0.2857918441295624","0.2857918441295624","0.2857918441295624","0.17523473501205444","0.17523473501205444","0.17523473501205444","0.18982835114002228","0.18982835114002228","0.18982835114002228","0.14783820509910583","0.14783820509910583","0.14783820509910583","0.3219386041164398","0.3219386041164398","0.3219386041164398","0.1709473878145218","0.1709473878145218","0.1709473878145218","0.4415569603443146","0.4415569603443146","0.4415569603443146","0.1795990914106369","0.1795990914106369","0.1795990914106369","2.404388189315796","2.404388189315796","2.404388189315796","0.2746640741825104","0.2746640741825104","0.2746640741825104","1.1538589000701904","1.1538589000701904","1.1538589000701904","2.596235752105713","2.596235752105713","2.596235752105713","5.6447601318359375","5.6447601318359375","5.6447601318359375","3.8188021183013916","3.8188021183013916","3.8188021183013916"
