"Step","efb0_16-06_5h20m30s - val_ACC","efb0_16-06_5h20m30s - val_ACC__MIN","efb0_16-06_5h20m30s - val_ACC__MAX","efb0_16-06_5h27m35s - val_ACC","efb0_16-06_5h27m35s - val_ACC__MIN","efb0_16-06_5h27m35s - val_ACC__MAX","efb0_16-06_5h13m15s - val_ACC","efb0_16-06_5h13m15s - val_ACC__MIN","efb0_16-06_5h13m15s - val_ACC__MAX","dn201_15-06_17h24m23s - val_ACC","dn201_15-06_17h24m23s - val_ACC__MIN","dn201_15-06_17h24m23s - val_ACC__MAX","inception_16-06_0h26m42s - val_ACC","inception_16-06_0h26m42s - val_ACC__MIN","inception_16-06_0h26m42s - val_ACC__MAX","inception_16-06_0h21m47s - val_ACC","inception_16-06_0h21m47s - val_ACC__MIN","inception_16-06_0h21m47s - val_ACC__MAX","dn201_15-06_17h24m48s - val_ACC","dn201_15-06_17h24m48s - val_ACC__MIN","dn201_15-06_17h24m48s - val_ACC__MAX","dn121_15-06_21h42m52s - val_ACC","dn121_15-06_21h42m52s - val_ACC__MIN","dn121_15-06_21h42m52s - val_ACC__MAX","dn121_15-06_21h36m21s - val_ACC","dn121_15-06_21h36m21s - val_ACC__MIN","dn121_15-06_21h36m21s - val_ACC__MAX","inception_16-06_0h23m15s - val_ACC","inception_16-06_0h23m15s - val_ACC__MIN","inception_16-06_0h23m15s - val_ACC__MAX","dn121_15-06_21h35m20s - val_ACC","dn121_15-06_21h35m20s - val_ACC__MIN","dn121_15-06_21h35m20s - val_ACC__MAX","dn201_15-06_17h24m29s - val_ACC","dn201_15-06_17h24m29s - val_ACC__MIN","dn201_15-06_17h24m29s - val_ACC__MAX","rn50_16-06_3h25m15s - val_ACC","rn50_16-06_3h25m15s - val_ACC__MIN","rn50_16-06_3h25m15s - val_ACC__MAX","rn50_16-06_3h17m45s - val_ACC","rn50_16-06_3h17m45s - val_ACC__MIN","rn50_16-06_3h17m45s - val_ACC__MAX","rn50_16-06_3h11m3s - val_ACC","rn50_16-06_3h11m3s - val_ACC__MIN","rn50_16-06_3h11m3s - val_ACC__MAX"
"0","0.7064796090126038","0.7064796090126038","0.7064796090126038","0.6948495507240295","0.6948495507240295","0.6948495507240295","0.7203248739242554","0.7203248739242554","0.7203248739242554","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6560826897621155","0.6560826897621155","0.6560826897621155","0.5227985978126526","0.5227985978126526","0.5227985978126526","0.6359608769416809","0.6359608769416809","0.6359608769416809"
"1","0.7341701984405518","0.7341701984405518","0.7341701984405518","0.7901052236557007","0.7901052236557007","0.7901052236557007","0.7666605114936829","0.7666605114936829","0.7666605114936829","0.6409451961517334","0.6409451961517334","0.6409451961517334","0.6638360619544983","0.6638360619544983","0.6638360619544983","0.38803765177726746","0.38803765177726746","0.38803765177726746","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6488831639289856","0.6488831639289856","0.6488831639289856","0.70186448097229","0.70186448097229","0.70186448097229","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.46686357259750366","0.46686357259750366","0.46686357259750366","0.350932240486145","0.350932240486145","0.350932240486145","0.5990400314331055","0.5990400314331055","0.5990400314331055"
"2","0.7810596227645874","0.7810596227645874","0.7810596227645874","0.8266568183898926","0.8266568183898926","0.8266568183898926","0.7952741384506226","0.7952741384506226","0.7952741384506226","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6957725882530212","0.6957725882530212","0.6957725882530212","0.6355916261672974","0.6355916261672974","0.6355916261672974","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6488831639289856","0.6488831639289856","0.6488831639289856","0.7074026465415955","0.7074026465415955","0.7074026465415955","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.34687095880508423","0.34687095880508423","0.34687095880508423","0.3640391230583191","0.3640391230583191","0.3640391230583191","0.3511168658733368","0.3511168658733368","0.3511168658733368"
"3","0.8360716104507446","0.8360716104507446","0.8360716104507446","0.853609025478363","0.853609025478363","0.853609025478363","0.8340409994125366","0.8340409994125366","0.8340409994125366","0.6459294557571411","0.6459294557571411","0.6459294557571411","0.7369392514228821","0.7369392514228821","0.7369392514228821","0.7548458576202393","0.7548458576202393","0.7548458576202393","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.649067759513855","0.649067759513855","0.649067759513855","0.6448218822479248","0.6448218822479248","0.6448218822479248","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.3326564431190491","0.3326564431190491","0.3326564431190491","0.34151744842529297","0.34151744842529297","0.34151744842529297","0.35148605704307556","0.35148605704307556","0.35148605704307556"
"4","0.8641314506530762","0.8641314506530762","0.8641314506530762","0.8648698329925537","0.8648698329925537","0.8648698329925537","0.8652390837669373","0.8652390837669373","0.8652390837669373","0.6199002861976624","0.6199002861976624","0.6199002861976624","0.7611224055290222","0.7611224055290222","0.7611224055290222","0.5196603536605835","0.5196603536605835","0.5196603536605835","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6660513281822205","0.6660513281822205","0.6660513281822205","0.7607531547546387","0.7607531547546387","0.7607531547546387","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.3513014614582062","0.3513014614582062","0.3513014614582062","0.3531475067138672","0.3531475067138672","0.3531475067138672","0.350932240486145","0.350932240486145","0.350932240486145"
"5","0.8811150193214417","0.8811150193214417","0.8811150193214417","0.8792689442634583","0.8792689442634583","0.8792689442634583","0.893852710723877","0.893852710723877","0.893852710723877","0.6459294557571411","0.6459294557571411","0.6459294557571411","0.7559534907341003","0.7559534907341003","0.7559534907341003","0.826841413974762","0.826841413974762","0.826841413974762","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.649067759513855","0.649067759513855","0.649067759513855","0.8046889305114746","0.8046889305114746","0.8046889305114746","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.34742477536201477","0.34742477536201477","0.34742477536201477","0.34964001178741455","0.34964001178741455","0.34964001178741455","0.5213217735290527","0.5213217735290527","0.5213217735290527"
"6","0.895883321762085","0.895883321762085","0.895883321762085","0.8966217637062073","0.8966217637062073","0.8966217637062073","0.895883321762085","0.895883321762085","0.895883321762085","0.6429758071899414","0.6429758071899414","0.6429758071899414","0.8253645896911621","0.8253645896911621","0.8253645896911621","0.6714048385620117","0.6714048385620117","0.6714048385620117","0.6666051149368286","0.6666051149368286","0.6666051149368286","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6523905992507935","0.6523905992507935","0.6523905992507935","0.7721986174583435","0.7721986174583435","0.7721986174583435","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.3489015996456146","0.3489015996456146","0.3489015996456146","0.3489015996456146","0.3489015996456146","0.3489015996456146","0.3540705144405365","0.3540705144405365","0.3540705144405365"
"7","0.9027136564254761","0.9027136564254761","0.9027136564254761","0.9028983116149902","0.9028983116149902","0.9028983116149902","0.909544050693512","0.909544050693512","0.909544050693512","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.800258457660675","0.800258457660675","0.800258457660675","0.6660513281822205","0.6660513281822205","0.6660513281822205","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6601439714431763","0.6601439714431763","0.6601439714431763","0.698726236820221","0.698726236820221","0.698726236820221","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.3695772588253021","0.3695772588253021","0.3695772588253021","0.34650176763534546","0.34650176763534546","0.34650176763534546","0.3540705144405365","0.3540705144405365","0.3540705144405365"
"8","0.891268253326416","0.891268253326416","0.891268253326416","0.9014214277267456","0.9014214277267456","0.9014214277267456","0.8953295350074768","0.8953295350074768","0.8953295350074768","0.6479601263999939","0.6479601263999939","0.6479601263999939","0.8257337808609009","0.8257337808609009","0.8257337808609009","0.7570611238479614","0.7570611238479614","0.7570611238479614","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6562672853469849","0.6562672853469849","0.6562672853469849","0.8089348077774048","0.8089348077774048","0.8089348077774048","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.350932240486145","0.350932240486145","0.350932240486145","0.3479785919189453","0.3479785919189453","0.3479785919189453","0.3520398736000061","0.3520398736000061","0.3520398736000061"
"9","0.9193280339241028","0.9193280339241028","0.9193280339241028","0.9171127676963806","0.9171127676963806","0.9171127676963806","0.9171127676963806","0.9171127676963806","0.9171127676963806","0.6407605409622192","0.6407605409622192","0.6407605409622192","0.8177958130836487","0.8177958130836487","0.8177958130836487","0.837917685508728","0.837917685508728","0.837917685508728","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.7280782461166382","0.7280782461166382","0.7280782461166382","0.7858593463897705","0.7858593463897705","0.7858593463897705","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.6486985683441162","0.36219310760498047","0.36219310760498047","0.36219310760498047","0.3313642144203186","0.3313642144203186","0.3313642144203186","0.3511168658733368","0.3511168658733368","0.3511168658733368"
